numero,mensaje,marcacion,fecha
3315347617,pp,77700,2015-02-01 20:17:12
4421270546,pp,77700,2015-02-01 20:17:12
7222697173,pp,77700,2015-02-01 20:17:12
7222697173,pp,77700,2015-02-01 20:17:12
7224436217,pp,77700,2015-02-02 20:17:12
7224436217,pp,77700,2015-02-02 20:17:12
7224436217,pp,77700,2015-02-02 20:17:12
7224436217,pp,77700,2015-02-02 20:17:12
7221008400,pp,77700,2015-02-02 20:17:12
7221008400,pp,77700,2015-02-03 20:17:12
7221008400,pp,77700,2015-02-03 20:17:12
3315347617,pp,77700,2015-02-03 20:17:12
3315347617,pp,77700,2015-02-03 20:17:12
7221008400,pp,77700,2015-02-04 20:17:12
